SITE,TREAT,PLOT,3+SOUND_MG/H,3+ROTTEN_MG/H,FINE_MG/H,TOTAL_MG/H
DALTON,2,32_2,0,0,7.794110103,7.794110103
DALTON,2,39_2,27.17443522,0,21.51842318,48.6928584
DALTON,2,56_2,47.9141513,0.233904877,28.62643708,76.77449326
DALTON,2,57_2,3.326749403,0,38.69066802,42.01741742
DALTON,2,47_2,12.25160722,0,37.06237556,49.31398278
DALTON,3,37_3,21.75815142,0,30.61494106,52.37309248
DALTON,3,15_3,0,0,42.27482309,42.27482309
DALTON,3,55_3,13.23184589,0,34.31080515,47.54265104
DALTON,3,54_3,1.717846497,0,20.71309856,22.43094505
DALTON,3,14_3,18.53546972,0,23.69894475,42.23441446
DALTON,3,7_3,17.91643298,0,62.38535801,80.30179099
DALTON,1,12_1,58.6322594,0.258391303,34.56418645,93.45483715
DALTON,1,50_1,54.4479957,0.218682229,40.06045598,94.72713392
DALTON,1,64_1,4.251566338,0,24.26936218,28.52092852
DALTON,1,65_1,4.576635496,0,15.12917591,19.70581141
DALTON,1,52_1,16.82790556,0,23.41811136,40.24601692
DALTON,0,11_0,0,0,9.872924793,9.872924793
DALTON,0,58_0,1.415455088,0,9.927696618,11.34315171
DALTON,0,10_0,5.914991708,0,12.358574,18.2735657
DALTON,1,41_1,2.91042249,0,8.738226869,11.64864936
DALTON,1,48_1,24.36193237,0,24.08216914,48.44410151
DALTON,0,44_0,1.142091119,0,5.648493562,6.790584681
DALTON,2,16_2,2.609068059,0,24.08883008,26.69789814
DALTON,2,8_2,7.509136344,0,19.28674957,26.79588591
DALTON,2,40_2,6.364708072,0,22.94082098,29.30552905
DALTON,1,42_1,2.2537592,0,16.94438106,19.19814026
STEESE,2,34_2,0,0,29.95698045,29.95698045
STEESE,3,22_3,8.088710497,0,38.63147509,46.72018558
STEESE,3,17_3,0,0,19.81150869,19.81150869
STEESE,3,25_3,0,0,24.45340621,24.45340621
STEESE,3,35_3,22.63534554,0,40.26835798,62.90370352
STEESE,3,24_3,3.957660939,0,28.25733977,32.21500071
STEESE,2,26_2,0,0,9.864454599,9.864454599
STEESE,1,33_1,13.56853254,0,41.63306613,55.20159866
STEESE,1,18_1,13.60533215,0,11.47679058,25.08212273
STEESE,1,29_1,21.13460036,0,77.35551592,98.49011628
STEESE,3,23_3,8.489643545,0,21.34768254,29.83732609
STEESE,3,2_3,8.600243819,0,22.17949794,30.77974176
STEESE,1,36_1,5.974361142,0,10.54307112,16.51743226
STEESE,1,20_1,7.608020432,0,14.64181727,22.2498377
STEESE,2,27_2,5.127832378,0,7.479739396,12.60757177
STEESE,2,4_2,0,0,11.75854947,11.75854947
STEESE,2,3_2,2.958828857,0,10.56564396,13.52447282
STEESE,2,19_2,3.39624066,0,15.73233718,19.12857783
STEESE,1,28_1,0,0,13.8891864,13.8891864
STEESE,1,5_1,0,0,18.52396659,18.52396659
STEESE,0,1_0,0.519775283,0,6.855624455,7.375399738
STEESE,0,31_0,0.206056319,0,2.71155064,2.917606959
STEESE,0,9_0,2.89655293,0,3.24697417,6.143527101
STEESE,0,6_0,1.140796231,0,6.394022968,7.534819199
