SITE,PLOT,TREAT,LINE,HEIGHT
STEESE,34_2,2,1,92
STEESE,34_2,2,1,4
STEESE,34_2,2,1,12
STEESE,34_2,2,1,117
STEESE,34_2,2,1,0
STEESE,34_2,2,1,0
STEESE,34_2,2,1,1
STEESE,34_2,2,1,0
STEESE,34_2,2,1,24
STEESE,34_2,2,1,1
STEESE,34_2,2,1,33
STEESE,34_2,2,1,1
STEESE,34_2,2,1,27
STEESE,34_2,2,1,42
STEESE,34_2,2,1,9
STEESE,34_2,2,2,31
STEESE,34_2,2,2,46
STEESE,34_2,2,2,22
STEESE,34_2,2,2,129
STEESE,34_2,2,2,174
STEESE,34_2,2,2,137
STEESE,34_2,2,2,0
STEESE,34_2,2,2,5
STEESE,34_2,2,2,1
STEESE,34_2,2,2,83
STEESE,34_2,2,2,0
STEESE,34_2,2,2,62
STEESE,34_2,2,2,1
STEESE,34_2,2,2,106
STEESE,34_2,2,2,4
STEESE,22_3,3,1,27
STEESE,22_3,3,1,1
STEESE,22_3,3,1,4
STEESE,22_3,3,1,1
STEESE,22_3,3,1,7
STEESE,22_3,3,1,5
STEESE,22_3,3,1,17
STEESE,22_3,3,1,3
STEESE,22_3,3,1,6
STEESE,22_3,3,1,17
STEESE,22_3,3,1,4
STEESE,22_3,3,1,12
STEESE,22_3,3,1,6
STEESE,22_3,3,1,8
STEESE,22_3,3,1,64
STEESE,22_3,3,2,1
STEESE,22_3,3,2,6
STEESE,22_3,3,2,2
STEESE,22_3,3,2,3
STEESE,22_3,3,2,6
STEESE,22_3,3,2,9
STEESE,22_3,3,2,19
STEESE,22_3,3,2,3
STEESE,22_3,3,2,8
STEESE,22_3,3,2,0
STEESE,22_3,3,2,15
STEESE,22_3,3,2,14
STEESE,22_3,3,2,9
STEESE,22_3,3,2,2
STEESE,22_3,3,2,5
STEESE,17_3,3,1,17
STEESE,17_3,3,1,13
STEESE,17_3,3,1,24
STEESE,17_3,3,1,24
STEESE,17_3,3,1,17
STEESE,17_3,3,1,10
STEESE,17_3,3,1,7
STEESE,17_3,3,1,10
STEESE,17_3,3,1,47
STEESE,17_3,3,1,12
STEESE,17_3,3,1,14
STEESE,17_3,3,1,9
STEESE,17_3,3,1,1
STEESE,17_3,3,1,1
STEESE,17_3,3,1,3
STEESE,17_3,3,2,12
STEESE,17_3,3,2,4
STEESE,17_3,3,2,17
STEESE,17_3,3,2,47
STEESE,17_3,3,2,9
STEESE,17_3,3,2,10
STEESE,17_3,3,2,99
STEESE,17_3,3,2,27
STEESE,17_3,3,2,1
STEESE,17_3,3,2,79
STEESE,17_3,3,2,78
STEESE,17_3,3,2,27
STEESE,17_3,3,2,54
STEESE,17_3,3,2,17
STEESE,17_3,3,2,63
STEESE,25_3,3,1,19
STEESE,25_3,3,1,25
STEESE,25_3,3,1,2
STEESE,25_3,3,1,7
STEESE,25_3,3,1,3
STEESE,25_3,3,1,1
STEESE,25_3,3,1,6
STEESE,25_3,3,1,5
STEESE,25_3,3,1,8
STEESE,25_3,3,1,12
STEESE,25_3,3,1,2
STEESE,25_3,3,1,50
STEESE,25_3,3,1,13
STEESE,25_3,3,1,13
STEESE,25_3,3,1,19
STEESE,25_3,3,2,12
STEESE,25_3,3,2,4
STEESE,25_3,3,2,21
STEESE,25_3,3,2,26
STEESE,25_3,3,2,18
STEESE,25_3,3,2,35
STEESE,25_3,3,2,15
STEESE,25_3,3,2,1
STEESE,25_3,3,2,51
STEESE,25_3,3,2,17
STEESE,25_3,3,2,13
STEESE,25_3,3,2,36
STEESE,25_3,3,2,25
STEESE,25_3,3,2,0
STEESE,25_3,3,2,3
STEESE,35_3,3,1,12
STEESE,35_3,3,1,2
STEESE,35_3,3,1,1
STEESE,35_3,3,1,1
STEESE,35_3,3,1,22
STEESE,35_3,3,1,1
STEESE,35_3,3,1,9
STEESE,35_3,3,1,1
STEESE,35_3,3,1,32
STEESE,35_3,3,1,40
STEESE,35_3,3,1,4
STEESE,35_3,3,1,15
STEESE,35_3,3,1,1
STEESE,35_3,3,1,4
STEESE,35_3,3,1,1
STEESE,35_3,3,2,44
STEESE,35_3,3,2,0
STEESE,35_3,3,2,24
STEESE,35_3,3,2,3
STEESE,35_3,3,2,4
STEESE,35_3,3,2,5
STEESE,35_3,3,2,6
STEESE,35_3,3,2,6
STEESE,35_3,3,2,4
STEESE,35_3,3,2,14
STEESE,35_3,3,2,1
STEESE,35_3,3,2,24
STEESE,35_3,3,2,17
STEESE,35_3,3,2,33
STEESE,35_3,3,2,6
STEESE,35_3,3,2,42
STEESE,24_3,3,1,1
STEESE,24_3,3,1,2
STEESE,24_3,3,1,1
STEESE,24_3,3,1,1
STEESE,24_3,3,1,15
STEESE,24_3,3,1,3
STEESE,24_3,3,1,1
STEESE,24_3,3,1,1
STEESE,24_3,3,1,0
STEESE,24_3,3,1,0
STEESE,24_3,3,1,1
STEESE,24_3,3,1,3
STEESE,24_3,3,1,7
STEESE,24_3,3,1,23
STEESE,24_3,3,1,3
STEESE,24_3,3,1,3
STEESE,24_3,3,2,20
STEESE,24_3,3,2,4
STEESE,24_3,3,2,1
STEESE,24_3,3,2,2
STEESE,24_3,3,2,21
STEESE,24_3,3,2,0
STEESE,24_3,3,2,3
STEESE,24_3,3,2,0
STEESE,24_3,3,2,3
STEESE,24_3,3,2,31
STEESE,24_3,3,2,1
STEESE,24_3,3,2,0
STEESE,24_3,3,2,11
STEESE,24_3,3,2,1
STEESE,24_3,3,2,1
STEESE,26_2,2,1,29
STEESE,26_2,2,1,65
STEESE,26_2,2,1,10
STEESE,26_2,2,1,72
STEESE,26_2,2,1,45
STEESE,26_2,2,1,112
STEESE,26_2,2,1,53
STEESE,26_2,2,1,38
STEESE,26_2,2,1,34
STEESE,26_2,2,1,4
STEESE,26_2,2,1,3
STEESE,26_2,2,1,19
STEESE,26_2,2,1,31
STEESE,26_2,2,1,30
STEESE,26_2,2,1,22
STEESE,26_2,2,2,29
STEESE,26_2,2,2,7
STEESE,26_2,2,2,9
STEESE,26_2,2,2,29
STEESE,26_2,2,2,59
STEESE,26_2,2,2,98
