SITE,SITECODE,TREAT,HEIGHT
STEESE,34_2,2,92
STEESE,34_2,2,4
STEESE,34_2,2,12
STEESE,34_2,2,117
STEESE,34_2,2,0
STEESE,34_2,2,0
STEESE,34_2,2,1
STEESE,34_2,2,0
STEESE,34_2,2,24
STEESE,34_2,2,1
STEESE,34_2,2,33
STEESE,34_2,2,1
STEESE,34_2,2,27
STEESE,34_2,2,42
STEESE,34_2,2,9
STEESE,34_2,2,31
STEESE,34_2,2,46
STEESE,34_2,2,22
STEESE,34_2,2,129
STEESE,34_2,2,174
STEESE,34_2,2,137
STEESE,34_2,2,0
STEESE,34_2,2,5
STEESE,34_2,2,1
STEESE,34_2,2,83
STEESE,34_2,2,0
STEESE,34_2,2,62
STEESE,34_2,2,1
STEESE,34_2,2,106
STEESE,34_2,2,4
STEESE,22_3,3,27
STEESE,22_3,3,1
STEESE,22_3,3,4
STEESE,22_3,3,1
STEESE,22_3,3,7
STEESE,22_3,3,5
STEESE,22_3,3,17
STEESE,22_3,3,3
STEESE,22_3,3,6
STEESE,22_3,3,17
STEESE,22_3,3,4
STEESE,22_3,3,12
STEESE,22_3,3,6
STEESE,22_3,3,8
STEESE,22_3,3,64
STEESE,22_3,3,1
STEESE,22_3,3,6
STEESE,22_3,3,2
STEESE,22_3,3,3
STEESE,22_3,3,6
STEESE,22_3,3,9
STEESE,22_3,3,19
STEESE,22_3,3,3
STEESE,22_3,3,8
STEESE,22_3,3,0
STEESE,22_3,3,15
STEESE,22_3,3,14
STEESE,22_3,3,9
STEESE,22_3,3,2
STEESE,22_3,3,5
STEESE,17_3,3,17
STEESE,17_3,3,13
STEESE,17_3,3,24
STEESE,17_3,3,24
STEESE,17_3,3,17
STEESE,17_3,3,10
STEESE,17_3,3,7
STEESE,17_3,3,10
STEESE,17_3,3,47
STEESE,17_3,3,12
STEESE,17_3,3,14
STEESE,17_3,3,9
STEESE,17_3,3,1
STEESE,17_3,3,1
STEESE,17_3,3,3
STEESE,17_3,3,12
STEESE,17_3,3,4
STEESE,17_3,3,17
STEESE,17_3,3,47
STEESE,17_3,3,9
STEESE,17_3,3,10
STEESE,17_3,3,99
STEESE,17_3,3,27
STEESE,17_3,3,1
STEESE,17_3,3,79
STEESE,17_3,3,78
STEESE,17_3,3,27
STEESE,17_3,3,54
STEESE,17_3,3,17
STEESE,17_3,3,63
STEESE,25_3,3,19
STEESE,25_3,3,25
STEESE,25_3,3,2
STEESE,25_3,3,7
STEESE,25_3,3,3
STEESE,25_3,3,1
STEESE,25_3,3,6
STEESE,25_3,3,5
STEESE,25_3,3,8
STEESE,25_3,3,12
STEESE,25_3,3,2
STEESE,25_3,3,50
STEESE,25_3,3,13
STEESE,25_3,3,13
STEESE,25_3,3,19
STEESE,25_3,3,12
STEESE,25_3,3,4
STEESE,25_3,3,21
