"SITE","TREAT","PLOT","CLUMP_ID","DBH_CM","CANOPY","HEIGHT_M","DIV","SPP","STEM_TYPE","QUAD","EXP_FACT"
"DALTON",0,"11_0",264,6.515,35,9.9,"c","PIME","CLUMP",2,50
"DALTON",0,"11_0",265,4.28,15,7.2,"c","PIME","CLUMP",2,50
"DALTON",0,"11_0",266,2.87,62.5,4.55,"c","PIME","CLUMP",2,50
"DALTON",0,"11_0",267,1.9875,11.25,2.575,"d","SALIX","CLUMP",2,50
"DALTON",0,"11_0",268,2.54,2.5,3.95,"d","SALIX","CLUMP",2,50
"DALTON",0,"11_0",269,1.36,10,1.8,"d","SALIX","CLUMP",2,50
"DALTON",0,"11_0",270,2.105,0,2.1,"d","SALIX","CLUMP",2,50
"DALTON",0,"11_0",271,1.55,57.5,5.3,"c","PIME","CLUMP",2,50
"DALTON",0,"44_0",272,1.556666667,0,1.733333333,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",343,0.33,62.5,0.15,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",344,0.42,32.77777778,0.244444444,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",345,0.336,24,0.16,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",346,1.08,40,0.5,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",347,0.2225,45,0.175,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",348,0.32,0,0.2,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",349,0.4,25,0.266666667,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",350,0.445,40,0.3,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",351,1.06,70,0.333333333,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",352,0.3175,47.5,0.225,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",353,0.595,82.5,0.6,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",354,0.22875,56.875,0.1625,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",355,0.28,50,0.25,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",356,0.28,45,0.25,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",357,0.52,90,1.8,"d","BENE","CLUMP",2,50
"DALTON",1,"12_1",358,0.406666667,8.333333333,0.266666667,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",359,0.103333333,0,0.1,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",360,0.525,60,0.45,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",361,0.485,82.5,0.3,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",362,0.35,75,0.383333333,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",363,0.44,63.63636364,0.281818182,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",364,0.445,90,0.3,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",365,0.186666667,60,0.2,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",366,0.54,78.75,0.575,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",367,0.6,72.5,1.6,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",368,0.33,10,0.2,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",369,0.15,5,0.1,"d","SALIX","CLUMP",2,50
"DALTON",1,"12_1",370,0.24,45,0.2,"d","SALIX","CLUMP",2,50
