"Site","Plot","Fires","Frame","Species","Distance_m","Distance_ft","Live.Dead"
"DALTON","32_2",2,1,"BENE",3,NA,"L"
"DALTON","32_2",2,1,"POTR",5,NA,"L"
"DALTON","32_2",2,1,"PIME",4.1,NA,"D"
"DALTON","32_2",2,1,"SALIX",1.3,NA,"L"
"DALTON","32_2",2,2,"BENE",1.8,NA,"L"
"DALTON","32_2",2,2,"POTR",3.3,NA,"L"
"DALTON","32_2",2,2,"PIME",5.2,NA,"D"
"DALTON","32_2",2,2,"SALIX",1.8,NA,"L"
"DALTON","32_2",2,3,"BENE",2.5,NA,"L"
"DALTON","32_2",2,3,"POTR",3.6,NA,"L"
"DALTON","32_2",2,3,"PIME",3.8,NA,"D"
"DALTON","32_2",2,3,"SALIX",0.7,NA,"L"
"DALTON","32_2",2,4,"BENE",0.9,NA,"L"
"DALTON","32_2",2,4,"POTR",0.6,NA,"L"
"DALTON","32_2",2,4,"PIME",2.5,NA,"D"
"DALTON","32_2",2,4,"SALIX",0.7,NA,"L"
"DALTON","32_2",2,5,"BENE",0.4,NA,"L"
"DALTON","32_2",2,5,"POTR",1.7,NA,"L"
"DALTON","32_2",2,5,"PIME",0.5,NA,"D"
"DALTON","32_2",2,5,"SALIX",1.3,NA,"L"
"DALTON","32_2",2,6,"BENE",3.2,NA,"L"
"DALTON","32_2",2,6,"POTR",2.6,NA,"L"
"DALTON","32_2",2,6,"PIME",3,NA,"D"
"DALTON","32_2",2,6,"SALIX",0.5,NA,"L"
"DALTON","32_2",2,7,"BENE",0.9,NA,"L"
"DALTON","32_2",2,7,"POTR",2.3,NA,"D"
"DALTON","32_2",2,7,"PIME",4.7,NA,"L"
"DALTON","32_2",2,7,"SALIX",0.9,NA,"L"
"DALTON","32_2",2,8,"BENE",0.4,NA,"L"
"DALTON","32_2",2,8,"POTR",2.5,NA,"L"
"DALTON","32_2",2,8,"PIME",2.1,NA,"D"
"DALTON","32_2",2,8,"SALIX",0.8,NA,"L"
"DALTON","32_2",2,9,"BENE",0.3,NA,"L"
"DALTON","32_2",2,9,"POTR",0.6,NA,"L"
"DALTON","32_2",2,9,"PIME",3,NA,"D"
"DALTON","32_2",2,9,"SALIX",0.9,NA,"L"
"DALTON","32_2",2,10,"BENE",1.2,NA,"L"
"DALTON","32_2",2,10,"POTR",0.9,NA,"L"
"DALTON","32_2",2,10,"PIME",1.7,NA,"D"
"DALTON","32_2",2,10,"SALIX",1,NA,"L"
"DALTON","16_2",2,1,"BENE",1.4,NA,"L"
"DALTON","16_2",2,1,"POTR",4.4,NA,"L"
"DALTON","16_2",2,1,"PIME",3,NA,"D"
"DALTON","16_2",2,1,"SALIX",0.1,NA,"L"
"DALTON","16_2",2,1,"ALCR",0.7,NA,"L"
"DALTON","16_2",2,2,"BENE",0.7,NA,"L"
