SITE,SITECODE,SITENUM,TREATMENT,ORGANIC,MINERAL,ROCK,CWD,GRAM
STEESE,34_2,34,2,100,0,0,20,5
STEESE,34_2,34,2,100,0,0,25,15
STEESE,34_2,34,2,100,0,0,5,3
STEESE,34_2,34,2,100,0,0,1,0
STEESE,34_2,34,2,100,0,0,7,2
STEESE,34_2,34,2,100,0,0,3,5
STEESE,34_2,34,2,100,0,0,13,10
STEESE,34_2,34,2,100,0,0,6,3
STEESE,34_2,34,2,100,0,0,3,8
STEESE,34_2,34,2,100,0,0,5,15
STEESE,22_3,22,3,98,2,0,8,3
STEESE,22_3,22,3,100,0,0,45,0
STEESE,22_3,22,3,100,0,0,35,0
STEESE,22_3,22,3,97,3,0,20,0
STEESE,22_3,22,3,100,0,0,60,3
STEESE,22_3,22,3,100,0,0,65,0
STEESE,22_3,22,3,97,3,0,17,0
STEESE,22_3,22,3,99,1,0,60,3
STEESE,22_3,22,3,100,0,0,15,15
STEESE,22_3,22,3,100,0,0,30,2
STEESE,17_3,17,3,97,3,0,35,3
STEESE,17_3,17,3,100,0,0,7,2
STEESE,17_3,17,3,100,0,0,13,0
STEESE,17_3,17,3,100,0,0,20,0
STEESE,17_3,17,3,100,0,0,3,30
STEESE,17_3,17,3,100,0,0,5,3
STEESE,17_3,17,3,100,0,0,5,0
STEESE,17_3,17,3,100,0,0,13,3
STEESE,17_3,17,3,100,0,0,2,15
STEESE,17_3,17,3,100,0,0,6,2
STEESE,25_3,25,3,100,0,0,20,0
STEESE,25_3,25,3,100,0,0,35,0
STEESE,25_3,25,3,100,0,0,12,0
STEESE,25_3,25,3,100,0,0,50,0
STEESE,25_3,25,3,100,0,0,6,0
STEESE,25_3,25,3,100,0,0,35,0
STEESE,25_3,25,3,90,10,0,12,3
STEESE,25_3,25,3,95,5,0,20,10
STEESE,25_3,25,3,100,0,0,40,8
STEESE,25_3,25,3,95,5,0,10,2
STEESE,35_3,35,3,97,3,0,25,0
STEESE,35_3,35,3,90,10,0,20,0
STEESE,35_3,35,3,95,5,0,7,0
STEESE,35_3,35,3,90,5,0,30,5
