SITE,PLOT,TREAT,SPP,DBH_CM,CANOPY,STEM_TYPE,CLUMP_TYPE,DIV,HEIGHT_M
DALTON,32_2,2,SALIX,1.91,60,CLUMP,START,d,0.9
DALTON,32_2,2,SALIX,1.42,50,CLUMP,,d,2.4
DALTON,32_2,2,SALIX,0.79,0,CLUMP,,d,1.8
DALTON,32_2,2,SALIX,2.24,45,CLUMP,,d,1.2
DALTON,32_2,2,SALIX,1.27,0,CLUMP,,d,1.1
DALTON,32_2,2,SALIX,1.91,0,CLUMP,END,d,0.9
DALTON,32_2,2,PIME,1.91,0,IND,,c,0.6
DALTON,32_2,2,PIME,1.91,0,IND,,c,0.6
DALTON,32_2,2,SALIX,1.35,90,CLUMP,START,d,0.9
DALTON,32_2,2,SALIX,0.97,80,CLUMP,END,d,0.5
DALTON,32_2,2,SALIX,0.64,15,CLUMP,START,d,0.3
DALTON,32_2,2,SALIX,1.5,10,CLUMP,END,d,0.9
DALTON,32_2,2,PIME,2.87,0,IND,,c,2
DALTON,32_2,2,PIME,2.24,0,IND,,c,0.9
DALTON,32_2,2,PIME,1.6,0,IND,,c,0.9
DALTON,32_2,2,PIME,1.27,0,IND,,c,0.6
DALTON,32_2,2,PIME,1.27,0,IND,,c,0.6
DALTON,32_2,2,PIME,2.54,0,IND,,c,0.9
DALTON,32_2,2,SALIX,2.31,80,CLUMP,START,d,1.4
DALTON,32_2,2,SALIX,1.6,80,CLUMP,,d,0.9
DALTON,32_2,2,SALIX,1.27,0,CLUMP,,d,0.8
DALTON,32_2,2,SALIX,1.91,90,CLUMP,,d,2.4
DALTON,32_2,2,SALIX,0.64,95,CLUMP,,d,1.8
DALTON,32_2,2,SALIX,1.12,0,CLUMP,END,d,1.8
DALTON,32_2,2,PIME,0.86,100,IND,,c,0.3
DALTON,32_2,2,SALIX,1.91,90,CLUMP,START,d,0.9
DALTON,32_2,2,SALIX,1.12,0,CLUMP,,d,0.9
DALTON,32_2,2,SALIX,0.71,90,CLUMP,,d,0.6
