SITE,PLOT,TREAT,SPP,DBH_CM,CANOPY,B_TYPE,MAX_B_WIDTH,STEM_TYPE,CLUMP_TYPE,BROW_INDEX,DIV,HEIGHT_M
DALTON,32_2,2,SALIX,1.91,60,H,0.28,CLUMP,START,0.83,d,0.9
DALTON,32_2,2,SALIX,1.42,50,H,0.22,CLUMP,,NA,d,2.4
DALTON,32_2,2,SALIX,0.79,0,N,0,CLUMP,,NA,d,1.8
DALTON,32_2,2,SALIX,2.24,45,H,0.22,CLUMP,,NA,d,1.2
DALTON,32_2,2,SALIX,1.27,0,H,0.22,CLUMP,,NA,d,1.1
DALTON,32_2,2,SALIX,1.91,0,H,0.25,CLUMP,END,NA,d,0.9
DALTON,32_2,2,PIME,1.91,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,1.91,0,H,0.5,IND,,0,c,0.6
DALTON,32_2,2,SALIX,1.35,90,H,0.19,CLUMP,START,1,d,0.9
DALTON,32_2,2,SALIX,0.97,80,H,0.16,CLUMP,END,NA,d,0.5
DALTON,32_2,2,SALIX,0.64,15,H,0.13,CLUMP,START,1,d,0.3
DALTON,32_2,2,SALIX,1.5,10,H,0.28,CLUMP,END,NA,d,0.9
DALTON,32_2,2,PIME,2.87,0,N,0,IND,,0,c,2
DALTON,32_2,2,PIME,2.24,0,N,0,IND,,0,c,0.9
DALTON,32_2,2,PIME,1.6,0,N,0,IND,,0,c,0.9
DALTON,32_2,2,PIME,1.27,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,1.27,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,2.54,0,N,0,IND,,0,c,0.9
DALTON,32_2,2,SALIX,2.31,80,H,0.28,CLUMP,START,1,d,1.4
DALTON,32_2,2,SALIX,1.6,80,H,0.19,CLUMP,,NA,d,0.9
DALTON,32_2,2,SALIX,1.27,0,H,0.19,CLUMP,,NA,d,0.8
DALTON,32_2,2,SALIX,1.91,90,H,0.16,CLUMP,,NA,d,2.4
DALTON,32_2,2,SALIX,0.64,95,H,0.09,CLUMP,,NA,d,1.8
DALTON,32_2,2,SALIX,1.12,0,H,0.13,CLUMP,END,NA,d,1.8
DALTON,32_2,2,PIME,0.86,100,N,0,IND,,0,c,0.3
DALTON,32_2,2,SALIX,1.91,90,H,0.22,CLUMP,START,0.8,d,0.9
DALTON,32_2,2,SALIX,1.12,0,H,0.19,CLUMP,,NA,d,0.9
DALTON,32_2,2,SALIX,0.71,90,H,0.13,CLUMP,,NA,d,0.6
DALTON,32_2,2,SALIX,0.23,100,N,0,CLUMP,,NA,d,0.3
DALTON,32_2,2,SALIX,0.41,50,H,0.06,CLUMP,END,NA,d,0.2
DALTON,32_2,2,SALIX,2.54,40,H,0.13,IND,,NA,d,2.7
DALTON,32_2,2,PIME,1.19,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,1.5,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,1.6,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,0.97,0,N,0,IND,,0,c,0.3
DALTON,32_2,2,PIME,1.27,0,N,0,IND,,0,c,0.6
DALTON,32_2,2,PIME,2.54,0,H,0.22,IND,,NA,c,1.7
DALTON,32_2,2,PIME,1.04,0,N,0,IND,,0,c,1.5
DALTON,32_2,2,PIME,0.71,0,N,0,IND,,0,c,1.5
DALTON,32_2,2,PIME,1.91,0,N,0,IND,,0,c,1.1
DALTON,32_2,2,PIME,1.91,0,N,0,IND,,0,c,3
DALTON,32_2,2,SALIX,1.91,0,H,0.38,CLUMP,START,1,d,0.9
DALTON,32_2,2,SALIX,0.97,0,H,0.25,CLUMP,,NA,d,0.5
DALTON,32_2,2,SALIX,1.91,0,B,0.38,CLUMP,,NA,d,2.7
DALTON,32_2,2,SALIX,1.91,0,H,0.38,CLUMP,END,NA,d,1.2
